id,region,country,category_code,company_name,source_type,public_profile_url,website,contact_via,priority,status,notes,target_products
M001,China,CN,fabric_textiles,"Changzhou Jietai Textile Co., Ltd.",named_company,https://czjiet.en.alibaba.com/,,Alibaba message / website contact,P1,agreed,Oxford/polyester fabrics,8
M002,China,CN,fabric_textiles,"Haining Yize Textile Co., Ltd.",named_company,https://zjyize.en.alibaba.com/,,Alibaba message / website contact,P1,agreed,Verified textile; factory reports,8
M003,China,CN,fabric_textiles,"Changxing Yaru Textile Trade Co., Ltd.",named_company,https://yarutex.en.alibaba.com/,,Alibaba message / website contact,P1,agreed,Microfiber / bedding fabric,8
M004,China,CN,fabric_textiles,"Changxing Ruiyuan Textile Co., Ltd.",named_company,https://cxryfz.en.alibaba.com/,,Alibaba message / website contact,P1,agreed,Intertek onsite; polyester fabrics,8
M005,China,CN,energy_solar,"Hangzhou Shinedo Technology Co., Ltd.",named_company,https://shinedo.en.alibaba.com/,,Alibaba message / website contact,P1,agreed,Solar lights / outdoor solar,8
M006,China,CN,energy_solar,"Guangdong Zhongyang Optoelectronic Technology Co., Ltd.",named_company,,https://zhongyangopto.com/en/,Alibaba message / website contact,P1,agreed,LED + solar modules OEM,8
M007,China,CN,furniture,"Foshan Shunde Govan Furniture Co., Ltd.",named_company,https://govanfurniture.en.alibaba.com/,,Alibaba message / website contact,P1,agreed,Foshan furniture,8
M008,China,CN,furniture,"Foshan Lianjiang Furniture Co., Ltd.",named_company,https://lianjiang.en.alibaba.com/,,Alibaba message / website contact,P1,agreed,12yrs Alibaba furniture,8
M009,China,CN,furniture,"Guangdong Yabo Furniture Industries Co., Ltd.",named_company,https://yabo.en.alibaba.com/,,Alibaba message / website contact,P1,agreed,Verified Pro; dining furniture,8
M010,China,CN,furniture,"Foshan Yisheng Furniture Co., Ltd.",named_company,https://fsysfurniture.en.alibaba.com/,,Alibaba message / website contact,P1,agreed,Lecong / export furniture,8
M011,China,CN,auto_parts,"Guangzhou Lima Electronic Technology Co., Ltd.",named_company,https://lemaban.en.alibaba.com/,,Alibaba message / website contact,P1,agreed,Auto lights; SGS onsite,8
M012,China,CN,auto_parts,"Foshan Startec Electronic Technology Co., Ltd.",named_company,,http://www.startecinc.com/,Alibaba message / website contact,P1,agreed,LED auto lighting; IATF 16949,8
M013,China,CN,clothing_accessories,"Guangzhou Hissen Apparel Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Guangdong. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M014,China,CN,clothing_accessories,"Dongguan Yihao Garment Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Guangdong. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
M015,China,CN,clothing_accessories,[Pick Verified #3] Guangdong — apparel manufacturer,alibaba_search_target,https://www.alibaba.com/trade/search?fsb=y&IndexArea=company_en&SearchText=apparel+manufacturer,,Alibaba message / website contact,P2,declined,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Guangdong. Confirm factory, then ask listing permission.",5
M016,China,CN,pottery,"Chaozhou Huayi Ceramics Co., Ltd.",named_company,https://www.alibaba.com,https://www.alibaba.com,Alibaba message / website contact,P2,agreed,"Alibaba: Verified Supplier + Trade Assurance + Manufacturer. Hub: Fujian. Confirm factory, then ask listing permission. | Resolved from public manufacturer shortlist for partner onboarding; verify after login.",5
